,date,open,close,high,low,volume
0,2010-01-04, 
1,2010-01-05, 
2,2010-01-06, 
3,2010-01-07, 
4,2010-01-08, 
5,2010-01-11, 
6,2010-01-12, 
7,2010-01-13,
8,2010-01-14, 
9,2010-01-15, 
10,2010-01-18, 
11,2010-01-19, 
12,2010-01-20, 
13,2010-01-21, 
14,2010-01-22, 
15,2010-01-25, 
16,2010-01-26, 
17,2010-01-27, 
18,2010-01-28, 
19,2010-01-29, 
20,2010-02-01, 
21,2010-02-02, 
22,2010-02-04, 
23,2010-02-05, 
24,2015-02-06, 
25,2015-02-09, 
26,2015-02-10, 
27,2015-02-11, 
28,2015-02-12, 
29,2015-02-13, 
30,2015-02-16, 
31,2010-02-24,
32,2010-02-25,
33,2010-02-26, 
34,2010-03-01, 
35,2010-03-03, 
36,2010-03-04, 
37,2010-03-05, 
38,2010-03-08, 
39,2010-03-09, 
40,2010-03-10, 
41,2010-03-11, 
42,2010-03-12, 
43,2010-03-15, 
44,2010-03-16, 
45,2010-03-17, 
46,2010-03-18, 
47,2010-03-19, 
48,2010-03-22, 
49,2010-03-23, 
50,2010-03-24, 
51,2010-03-25, 
52,2010-03-26, 
53,2010-03-29, 
54,2010-03-30, 
55,2010-03-31,
56,2010-04-01, 
57,2010-04-02, 
58,2010-04-06, 
59,2010-04-07, 
60,2010-04-08, 
61,2010-04-09, 
62,2010-04-12,  
64,2010-04-14, 
63,2010-04-13,
65,2010-04-15, 
66,2010-04-16, 
67,2010-04-19, 
68,2010-04-20, 
69,2010-04-21, 
70,2010-04-22, 
456,2011-12-01,8.914,8.826,9.109,8.764,125252.0,002233
457,2011-12-02,8.702,8.959,9.277,8.57,164674.0,002233
458,2011-12-05,8.888,8.676,8.967,8.508,98386.0,002233
459,2011-12-06,8.685,8.808,8.976,8.632,112743.0,002233
460,2011-12-07,8.764,8.623,8.817,8.526,74221.0,002233
461,2011-12-08,8.57,8.57,8.747,8.323,88940.0,002233
462,2011-12-09,8.437,8.296,8.57,8.287,64555.0,002233
463,2011-12-12,8.305,8.031,8.376,7.996,56249.0,002233
464,2011-12-13,8.013,7.686,8.013,7.669,58365.0,002233
465,2011-12-14,7.51,7.51,7.695,7.474,57046.0,002233
466,2011-12-15,7.466,7.492,7.58,7.386,53248.0,002233
467,2011-12-16,7.413,7.598,7.651,7.315,113844.0,002233
468,2011-12-19,7.51,7.448,7.536,7.156,101927.0,002233
469,2011-12-20,7.395,7.686,8.19,7.368,218292.0,002233
470,2011-12-21,7.686,7.377,7.748,7.36,113792.0,002233
471,2011-12-22,7.271,7.183,7.377,6.891,96044.0,002233
472,2011-12-23,7.192,7.898,7.898,7.112,433601.0,002233
473,2011-12-26,7.757,8.181,8.464,7.748,471641.0,002233
474,2011-12-27,7.978,7.916,8.181,7.837,201059.0,002233
475,2011-12-28,7.819,8.217,8.384,7.819,268330.0,002233
476,2011-12-29,8.119,8.181,8.305,8.049,145850.0,002233
477,2011-12-30,8.19,8.305,8.455,8.084,195535.0,002233
478,2012-01-04,8.349,7.96,8.402,7.96,136113.0,002233
